 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
61,55.135350,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,
62,55.135730,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,
63,55.136300,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,
64,55.149630,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,
65,49.468920,49.469100,49.469100,49.469100,49.469100,49.469100,49.469100,49.469100,49.469100,49.469100,49.469100,
66,49.469110,49.469280,49.469280,49.469280,49.469280,49.469280,49.469280,49.469280,49.469280,49.469280,49.469280,
67,49.470140,49.470310,49.470310,49.470310,49.470310,49.470310,49.470310,49.470310,49.470310,49.470310,49.470310,
68,49.472820,49.473000,49.473000,49.473000,49.473000,49.473000,49.473000,49.473000,49.473000,49.473000,49.473000,
69,49.507030,49.507210,49.507210,49.507210,49.507210,49.507210,49.507210,49.507210,49.507210,49.507210,49.507210,
70,49.476980,49.477150,49.477150,49.477150,49.477150,49.477150,49.477150,49.477150,49.477150,49.477150,49.477150,
71,49.488480,49.488660,49.488660,49.488660,49.488660,49.488660,49.488660,49.488660,49.488660,49.488660,49.488660,
72,49.561600,49.561780,49.561780,49.561780,49.561780,49.561780,49.561780,49.561780,49.561780,49.561780,49.561780,
73,49.606800,49.606980,49.606980,49.606980,49.606980,49.606980,49.606980,49.606980,49.606980,49.606980,49.606980,
74,49.656460,49.656630,49.656630,49.656630,49.656630,49.656630,49.656630,49.656630,49.656630,49.656630,49.656630,
75,55.136250,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,
76,50.667870,50.668050,50.668050,50.668050,50.668050,50.668050,50.668050,50.668050,50.668050,50.668050,50.668050,
77,52.618520,52.618690,52.618690,52.618690,52.618690,52.618690,52.618690,52.618690,52.618690,52.618690,52.618690,
78,51.090370,51.090550,51.090550,51.090550,51.090550,51.090550,51.090550,51.090550,51.090550,51.090550,51.090550,
79,50.568000,50.568180,50.568180,50.568180,50.568180,50.568180,50.568180,50.568180,50.568180,50.568180,50.568180,
80,50.223410,50.223590,50.223590,50.223590,50.223590,50.223590,50.223590,50.223590,50.223590,50.223590,50.223590,
81,50.160060,50.160240,50.160240,50.160240,50.160240,50.160240,50.160240,50.160240,50.160240,50.160240,50.160240,
82,50.133250,50.133410,50.133410,50.133410,50.133410,50.133410,50.133410,50.133410,50.133410,50.133410,50.133410,
83,50.130490,50.130650,50.130650,50.130650,50.130650,50.130650,50.130650,50.130650,50.130650,50.130650,50.130650,
84,50.130050,50.130220,50.130220,50.130220,50.130220,50.130220,50.130220,50.130220,50.130220,50.130220,50.130220,
85,47.259920,47.260090,47.260090,47.260090,47.260090,47.260090,47.260090,47.260090,47.260090,47.260090,47.260090,
86,50.131870,50.132040,50.132040,50.132040,50.132040,50.132040,50.132040,50.132040,50.132040,50.132040,50.132040,
