Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
25,89,-17.694164,-17.63417,-17.574158,-17.514214,-17.574158,-17.63417,-17.694164,-17.75412,-17.814114,-17.874126,-17.814114,-17.75412,-17.694164,-17.63417,-17.574158,-17.514214,-17.574158,-17.63417,-17.694164,-17.75412,-17.814114,-17.874126,-17.814114,-17.75412,-17.694164,-17.63417,-17.574158,-17.514214,-17.574158,-17.63417,-17.694164,-17.75412,-17.814114,-17.874126,-17.814114,-17.75412,-17.694164,-17.63417,-17.574158,-17.514214,-17.574158,-17.63417,-17.694164,-17.75412,-17.814114,-17.874126,-17.814114,-17.75412,-17.694164
26,25,-32.46385,-32.35386,-32.243774,-32.133686,-32.243774,-32.35386,-32.46385,-32.573956,-32.68394,-32.79402,-32.68394,-32.573956,-32.46385,-32.35386,-32.243774,-32.133686,-32.243774,-32.35386,-32.46385,-32.573956,-32.68394,-32.79402,-32.68394,-32.573956,-32.46385,-32.35386,-32.243774,-32.133686,-32.243774,-32.35386,-32.46385,-32.573956,-32.68394,-32.79402,-32.68394,-32.573956,-32.46385,-32.35386,-32.243774,-32.133686,-32.243774,-32.35386,-32.46385,-32.573956,-32.68394,-32.79402,-32.68394,-32.573956,-32.46385
4,26,-32.712383,-32.601547,-32.490604,-32.37976,-32.490604,-32.601547,-32.712383,-32.823322,-32.934177,-33.045116,-32.934177,-32.823322,-32.712383,-32.601547,-32.490604,-32.37976,-32.490604,-32.601547,-32.712383,-32.823322,-32.934177,-33.045116,-32.934177,-32.823322,-32.712383,-32.601547,-32.490604,-32.37976,-32.490604,-32.601547,-32.712383,-32.823322,-32.934177,-33.045116,-32.934177,-32.823322,-32.712383,-32.601547,-32.490604,-32.37976,-32.490604,-32.601547,-32.712383,-32.823322,-32.934177,-33.045116,-32.934177,-32.823322,-32.712383
27,85,-65.83601,-65.61297,-65.389755,-65.16651,-65.389755,-65.61297,-65.83602,-66.059235,-66.282486,-66.5057,-66.282486,-66.059235,-65.83602,-65.61297,-65.389755,-65.16651,-65.389755,-65.61297,-65.83602,-66.059235,-66.282486,-66.5057,-66.282486,-66.059235,-65.83602,-65.61297,-65.389755,-65.16651,-65.389755,-65.61297,-65.83602,-66.059235,-66.282486,-66.5057,-66.282486,-66.059235,-65.83602,-65.61297,-65.389755,-65.16651,-65.389755,-65.61297,-65.83602,-66.059235,-66.282486,-66.5057,-66.282486,-66.059235,-65.83602
3,27,-0.5157712,-0.51402646,-0.512278,-0.51053005,-0.512278,-0.51402646,-0.5157745,-0.5175224,-0.5192708,-0.52102023,-0.5192708,-0.5175224,-0.5157745,-0.51402646,-0.512278,-0.51053005,-0.512278,-0.51402646,-0.5157745,-0.5175224,-0.5192708,-0.52102023,-0.5192708,-0.5175224,-0.5157745,-0.51402646,-0.512278,-0.51053005,-0.512278,-0.51402646,-0.5157745,-0.5175224,-0.5192708,-0.52102023,-0.5192708,-0.5175224,-0.5157745,-0.51402646,-0.512278,-0.51053005,-0.512278,-0.51402646,-0.5157745,-0.5175224,-0.5192708,-0.52102023,-0.5192708,-0.5175224,-0.5157745
28,34,-0.79726726,-0.79456127,-0.7918588,-0.7891574,-0.7918588,-0.79456127,-0.7972652,-0.7999676,-0.802669,-0.8053714,-0.802669,-0.7999676,-0.7972652,-0.79456127,-0.7918588,-0.7891574,-0.7918588,-0.79456127,-0.7972652,-0.7999676,-0.802669,-0.8053714,-0.802669,-0.7999676,-0.7972652,-0.79456127,-0.7918588,-0.7891574,-0.7918588,-0.79456127,-0.7972652,-0.7999676,-0.802669,-0.8053714,-0.802669,-0.7999676,-0.7972652,-0.79456127,-0.7918588,-0.7891574,-0.7918588,-0.79456127,-0.7972652,-0.7999676,-0.802669,-0.8053714,-0.802669,-0.7999676,-0.7972652
29,28,-3.6206162,-3.6083503,-3.5960722,-3.5838053,-3.5960722,-3.6083503,-3.6206162,-3.6328976,-3.6451638,-3.6574426,-3.6451638,-3.6328976,-3.6206162,-3.6083503,-3.5960722,-3.5838053,-3.5960722,-3.6083503,-3.6206162,-3.6328976,-3.6451638,-3.6574426,-3.6451638,-3.6328976,-3.6206162,-3.6083503,-3.5960722,-3.5838053,-3.5960722,-3.6083503,-3.6206162,-3.6328976,-3.6451638,-3.6574426,-3.6451638,-3.6328976,-3.6206162,-3.6083503,-3.5960722,-3.5838053,-3.5960722,-3.6083503,-3.6206162,-3.6328976,-3.6451638,-3.6574426,-3.6451638,-3.6328976,-3.6206162
30,29,-1.7427083,-1.7367738,-1.7308698,-1.7249581,-1.7308698,-1.7367738,-1.7426835,-1.7485877,-1.7544975,-1.7604022,-1.7544975,-1.7485877,-1.7426835,-1.7367738,-1.7308698,-1.7249581,-1.7308698,-1.7367738,-1.7426835,-1.7485877,-1.7544975,-1.7604022,-1.7544975,-1.7485877,-1.7426835,-1.7367738,-1.7308698,-1.7249581,-1.7308698,-1.7367738,-1.7426835,-1.7485877,-1.7544975,-1.7604022,-1.7544975,-1.7485877,-1.7426835,-1.7367738,-1.7308698,-1.7249581,-1.7308698,-1.7367738,-1.7426835,-1.7485877,-1.7544975,-1.7604022,-1.7544975,-1.7485877,-1.7426835
30,31,-7.9531927,-7.926241,-7.8992934,-7.8723145,-7.8992934,-7.926241,-7.95322,-7.9801736,-8.007119,-8.034098,-8.007119,-7.9801736,-7.95322,-7.926241,-7.8992934,-7.8723145,-7.8992934,-7.926241,-7.95322,-7.9801736,-8.007119,-8.034098,-8.007119,-7.9801736,-7.95322,-7.926241,-7.8992934,-7.8723145,-7.8992934,-7.926241,-7.95322,-7.9801736,-8.007119,-8.034098,-8.007119,-7.9801736,-7.95322,-7.926241,-7.8992934,-7.8723145,-7.8992934,-7.926241,-7.95322,-7.9801736,-8.007119,-8.034098,-8.007119,-7.9801736,-7.95322
31,32,-0.78456426,-0.7819104,-0.7792502,-0.77659017,-0.7792502,-0.7819104,-0.7845705,-0.7872298,-0.7898898,-0.7925474,-0.7898899,-0.7872298,-0.7845705,-0.7819104,-0.7792502,-0.77659017,-0.7792502,-0.7819104,-0.7845705,-0.7872298,-0.7898898,-0.7925474,-0.7898898,-0.7872298,-0.7845705,-0.7819104,-0.7792502,-0.77659017,-0.7792502,-0.7819104,-0.7845705,-0.7872298,-0.7898899,-0.7925474,-0.7898899,-0.7872298,-0.7845705,-0.7819104,-0.7792502,-0.77659017,-0.7792502,-0.7819104,-0.7845705,-0.7872298,-0.7898898,-0.7925474,-0.7898898,-0.7872298,-0.7845705
