Id,latitude,longitude,Weight,,# Result
346,60.819385,110.589593,614.5985,,0.6145985
347,59.672368,110.093986,639.87315,,0.63987315
348,58.52535,109.499672,631.7641,,0.6317641
349,57.436067,109.301221,630.35864,,0.63035864
350,61.449951,108.442999,615.40365,,0.61540365
350001,59.143287,107.583738,838.88435,,0.83888435
351,59.357084,106.725516,836.77584,,0.83677584
356,56.524498,106.058471,876.55663,,0.87655663
352,56.641319,107.070467,972.2285,,0.9722285
335,57.678732,111.473271,453.62067,,0.45362067
406,61.515804,102.52376,784.16145,,0.78416145
405,60.666479,100.027539,840.81376,,0.84081376
404,59.390462,98.6202,935.9304,,0.9359304
353,55.645403,107.070467,982.031,,0.982031
354,55.08926,106.935396,975.36975,,0.97536975
355,54.47403,106.767076,957.32254,,0.95732254
357,55.674722,105.552473,868.7372,,0.8687372
358,55.733358,104.540478,866.0385,,0.8660385
370,50.427219,109.7428,1084.204,,1.084204
371,51.047412,109.111602,1023.8221,,1.0238221
372,51.252188,107.660625,826.737,,0.826737
373,51.999125,108.251302,825.8136,,0.8258136
374,51.926055,108.723532,823.9297,,0.8239297
378,50.336107,106.974358,862.4616,,0.8624616
379,49.797104,108.339617,914.5776,,0.9145776
380,48.989276,107.718809,922.36215,,0.92236215
381,48.019521,107.471005,932.8203,,0.9328203
382,47.588318,108.215456,933.41786,,0.93341786
376,51.662191,105.687545,814.0288,,0.8140288
377,50.551709,105.423117,857.683,,0.857683
383,51.144387,100.64471,766.6211,,0.7666211
384,52.336058,100.930958,770.7253,,0.7707253
396001,55.916484,98.502792,1101.6966,,1.1016966
397,55.228183,99.757916,1080.265,,1.080265
398,54.6549,100.78134,1079.3942,,1.0793942
400,57.783375,97.220653,1041.5831,,1.0415831
401,58.175788,95.908903,1048.2137,,1.0482137
402,57.547477,95.139517,1019.5433,,1.0195433
403,56.801442,95.682399,1007.1629,,1.0071629
10,45.393965,99.493488,2791.853,,2.791853
9,49.114216,90.979321,2787.3073,,2.7873073
8,51.099733,87.902813,2794.5323,,2.7945323
2,53.624705,84.300046,2886.6894,,2.8866894
1,54.151981,82.478143,2880.448,,2.880448
3,54.561984,86.020647,2882.894,,2.882894
385,53.013984,95.791495,738.0147,,0.7380147
17,49.9243,98.238883,2543.8411,,2.5438411
16,50.755583,97.248187,2548.9123,,2.5489123
15,49.875587,96.612833,2562.9323,,2.5629323
13,51.07673,94.723913,2224.6323,,2.2246323
12,52.189467,93.172152,2350.715,,2.350715
14,52.687425,91.822478,2540.0407,,2.5400407
6,52.687425,90.2037,2633.5256,,2.6335256
5,51.545369,88.348029,2723.2108,,2.7232108
601,52.635555,98.226415,759.4921,,0.7594921
387,53.858799,94.217915,915.25644,,0.91525644
388,54.47403,93.205919,1002.5368,,1.0025368
389,55.264718,92.025085,1151.5368,,1.1515368
390,55.381991,90.945553,1261.5268,,1.2615268
391,55.821313,90.540859,1272.7892,,1.2727892
392,56.31927,89.933558,1285.9514,,1.2859514
393,56.817228,89.326257,1258.0662,,1.2580662
394,57.549281,88.17919,1206.6926,,1.2066926
395,57.842462,86.998874,1198.487,,1.198487
396,56.407225,87.673192,1194.2416,,1.1942416
4,52.59045,85.888173,2826.0517,,2.8260517
7,50.583733,87.30798,2779.4678,,2.7794678
228,46.540982,126.407479,242.22656,,0.24222656
229,47.745283,120.166147,461.02855,,0.46102855
256001,58.631798,120.956834,700.21135,,0.70021135
399,57.148298,98.005106,1019.7381,,1.0197381
