 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
46,48.242080,48.242250,48.242250,48.242250,48.242250,48.242250,48.242250,48.242250,48.242250,48.242250,48.242250,
47,48.079750,48.079930,48.079930,48.079930,48.079930,48.079930,48.079930,48.079930,48.079930,48.079930,48.079930,
48,48.079410,48.079580,48.079580,48.079580,48.079580,48.079580,48.079580,48.079580,48.079580,48.079580,48.079580,
49,47.135170,47.135350,47.135350,47.135350,47.135350,47.135350,47.135350,47.135350,47.135350,47.135350,47.135350,
50,47.106830,47.107000,47.107000,47.107000,47.107000,47.107000,47.107000,47.107000,47.107000,47.107000,47.107000,
51,47.097830,47.098010,47.098010,47.098010,47.098010,47.098010,47.098010,47.098010,47.098010,47.098010,47.098010,
52,49.463630,49.463800,49.463800,49.463800,49.463800,49.463800,49.463800,49.463800,49.463800,49.463800,49.463800,
53,55.135560,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,
54,49.461000,49.461170,49.461170,49.461170,49.461170,49.461170,49.461170,49.461170,49.461170,49.461170,49.461170,
55,49.456050,49.456230,49.456230,49.456230,49.456230,49.456230,49.456230,49.456230,49.456230,49.456230,49.456230,
56,49.452320,49.452500,49.452500,49.452500,49.452500,49.452500,49.452500,49.452500,49.452500,49.452500,49.452500,
57,49.451530,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,
58,49.434900,49.435080,49.435080,49.435080,49.435080,49.435080,49.435080,49.435080,49.435080,49.435080,49.435080,
59,50.073360,50.073530,50.073530,50.073530,50.073530,50.073530,50.073530,50.073530,50.073530,50.073530,50.073530,
60,49.049920,49.050090,49.050090,49.050090,49.050090,49.050090,49.050090,49.050090,49.050090,49.050090,49.050090,
61,55.135350,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,55.135520,
62,55.135730,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,55.135900,
63,55.136300,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,55.136470,
64,55.149630,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,55.149800,
65,49.469310,49.469490,49.469490,49.469490,49.469490,49.469490,49.469490,49.469490,49.469490,49.469490,49.469490,
66,49.469390,49.469570,49.469570,49.469570,49.469570,49.469570,49.469570,49.469570,49.469570,49.469570,49.469570,
67,49.470230,49.470400,49.470400,49.470400,49.470400,49.470400,49.470400,49.470400,49.470400,49.470400,49.470400,
68,49.472630,49.472800,49.472800,49.472800,49.472800,49.472800,49.472800,49.472800,49.472800,49.472800,49.472800,
69,49.506940,49.507110,49.507110,49.507110,49.507110,49.507110,49.507110,49.507110,49.507110,49.507110,49.507110,
70,49.477320,49.477500,49.477500,49.477500,49.477500,49.477500,49.477500,49.477500,49.477500,49.477500,49.477500,
71,49.488770,49.488950,49.488950,49.488950,49.488950,49.488950,49.488950,49.488950,49.488950,49.488950,49.488950,
72,49.561760,49.561940,49.561940,49.561940,49.561940,49.561940,49.561940,49.561940,49.561940,49.561940,49.561940,
73,49.606900,49.607070,49.607070,49.607070,49.607070,49.607070,49.607070,49.607070,49.607070,49.607070,49.607070,
74,49.656480,49.656650,49.656650,49.656650,49.656650,49.656650,49.656650,49.656650,49.656650,49.656650,49.656650,
75,55.136250,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,55.136420,
76,50.667880,50.668060,50.668060,50.668060,50.668060,50.668060,50.668060,50.668060,50.668060,50.668060,50.668060,
77,52.618530,52.618700,52.618700,52.618700,52.618700,52.618700,52.618700,52.618700,52.618700,52.618700,52.618700,
78,51.090390,51.090570,51.090570,51.090570,51.090570,51.090570,51.090570,51.090570,51.090570,51.090570,51.090570,
79,50.568010,50.568190,50.568190,50.568190,50.568190,50.568190,50.568190,50.568190,50.568190,50.568190,50.568190,
80,50.223420,50.223610,50.223610,50.223610,50.223610,50.223610,50.223610,50.223610,50.223610,50.223610,50.223610,
